,Train Loss
870,tensor(2.4360)
871,tensor(3.7165)
872,tensor(1.9937)
873,tensor(3.7799)
874,tensor(2.1389)
875,tensor(2.2500)
876,tensor(3.2455)
877,tensor(3.1930)
878,tensor(2.8262)
879,tensor(2.7369)
880,tensor(2.3363)
881,tensor(2.7640)
882,tensor(3.4134)
883,tensor(2.4429)
884,tensor(2.7154)
885,tensor(2.3857)
886,tensor(5.0154)
887,tensor(4.0463)
888,tensor(3.0322)
889,tensor(2.5847)
890,tensor(2.3446)
891,tensor(2.4429)
892,tensor(2.6526)
893,tensor(3.2145)
894,tensor(2.9267)
895,tensor(3.4000)
896,tensor(3.4082)
897,tensor(3.1831)
898,tensor(2.0628)
899,tensor(2.7601)
900,tensor(3.0886)
901,tensor(2.8643)
902,tensor(2.3868)
903,tensor(3.3693)
904,tensor(2.5479)
905,tensor(3.1618)
906,tensor(1.7646)
907,tensor(2.9635)
908,tensor(3.1733)
909,tensor(2.2629)
910,tensor(2.9291)
911,tensor(3.3994)
912,tensor(2.4578)
913,tensor(2.1648)
914,tensor(4.4122)
915,tensor(4.0223)
916,tensor(5.0662)
917,tensor(2.1345)
918,tensor(2.9517)
919,tensor(5.2423)
920,tensor(3.7703)
921,tensor(3.6407)
922,tensor(2.0108)
923,tensor(3.6576)
924,tensor(3.3017)
925,tensor(2.2346)
926,tensor(4.1461)
927,tensor(4.5023)
928,tensor(2.0629)
929,tensor(2.1644)
930,tensor(3.3417)
931,tensor(2.1389)
932,tensor(3.1886)
933,tensor(4.3417)
934,tensor(2.2959)
935,tensor(3.0805)
936,tensor(4.9005)
937,tensor(1.7863)
938,tensor(2.2132)
939,tensor(5.0910)
940,tensor(3.0594)
941,tensor(3.5267)
942,tensor(2.5505)
943,tensor(3.2404)
944,tensor(5.3760)
945,tensor(2.6555)
946,tensor(2.5433)
947,tensor(2.2354)
948,tensor(2.1697)
949,tensor(2.9419)
950,tensor(2.7191)
951,tensor(1.9201)
952,tensor(2.5998)
953,tensor(2.6843)
954,tensor(3.6601)
955,tensor(2.7211)
956,tensor(3.1121)
957,tensor(3.9259)
958,tensor(3.0129)
959,tensor(2.9489)
960,tensor(2.5136)
961,tensor(2.3745)
962,tensor(2.7433)
963,tensor(2.7773)
964,tensor(2.6715)
965,tensor(2.4661)
966,tensor(2.0240)
967,tensor(2.7227)
968,tensor(2.6429)
969,tensor(2.7262)
970,tensor(6.5879)
971,tensor(2.1026)
972,tensor(2.7922)
973,tensor(2.3668)
974,tensor(2.5831)
975,tensor(3.0658)
976,tensor(6.1948)
977,tensor(3.4735)
978,tensor(2.7240)
979,tensor(4.4479)
980,tensor(2.0278)
981,tensor(4.4497)
982,tensor(3.7394)
983,tensor(4.3831)
984,tensor(3.6037)
985,tensor(2.1672)
986,tensor(3.4250)
987,tensor(3.2272)
988,tensor(3.1633)
989,tensor(4.0621)
990,tensor(3.1406)
991,tensor(1.8101)
992,tensor(3.8673)
993,tensor(3.3014)
